EPOCH,UTDATE,UTSTART,OBJECT,OBSTYPE,MEANRA,MEANDEC
2018.70971779,2018:09:17,05:23:10,Test,OBJECT,225.961277198164,-31.2743888888889
2018.7097207,2018:09:17,05:24:42,Test,OBJECT,226.345660068983,-31.2743888888889
2018.7097265,2018:09:17,05:27:45,Test,OBJECT,227.110247732343,-31.2743888888889
2018.7097406,2018:09:17,05:35:10,ARC - ThAr,ARC,228.969490964801,-31.2743888888889
2018.70980711,2018:09:17,06:10:09,Dark Frame,DARK,237.739269710743,-31.2743888888889
2018.70998755,2018:09:17,07:45:03,Test,OBJECT,261.529226926293,-31.2743888888889
2018.70999414,2018:09:17,07:48:31,Test,OBJECT,262.398266460241,-31.2743888888889
2018.71002415,2018:09:17,08:04:18,ThXe Centre Fibre,OBJECT,266.354903178203,-31.2743888888889
2018.71005377,2018:09:17,08:19:53,ThXe Another Fibre,OBJECT,270.261403004172,-31.2743888888889
2018.71005881,2018:09:17,08:22:32,ThXe Another Fibre,OBJECT,270.925716878352,-31.2743888888889
2018.71006591,2018:09:17,08:26:16,ThXe Another Fibre,OBJECT,271.861605604452,-31.2743888888889
2018.71007428,2018:09:17,08:30:40,ThXe Another Fibre,OBJECT,272.964617319987,-31.2743888888889
2018.71008004,2018:09:17,08:33:42,ThXe Another Fibre,OBJECT,273.725026913236,-31.2743888888889
2018.71008695,2018:09:17,08:37:20,ThXe Another Fibre,OBJECT,274.6358471933,-31.2743888888889
2018.71009297,2018:09:17,08:40:30,ThXe Another Fibre,OBJECT,275.429681381292,-31.2743888888889
2018.71009928,2018:09:17,08:43:49,ThXe Another Fibre,OBJECT,276.261118242303,-31.2743888888889
2018.71010793,2018:09:17,08:48:22,ThXe Another Fibre,OBJECT,277.401732630887,-31.2743888888889
2018.71011382,2018:09:17,08:51:28,ThXe Another Fibre,OBJECT,278.178854518897,-31.2743888888889
2018.71012184,2018:09:17,08:55:41,ThXe Another Fibre,OBJECT,279.235907415401,-31.2743888888889
2018.71012875,2018:09:17,08:59:19,ThXe Another Fibre,OBJECT,280.146727692868,-31.2743888888889
2018.71014038,2018:09:17,09:05:26,ThXe Another Fibre,OBJECT,281.680081101148,-31.2743888888889
2018.71014611,2018:09:17,09:08:27,ThXe Another Fibre,OBJECT,282.436312616156,-31.2743888888889
2018.71015109,2018:09:17,09:11:04,ThXe Another Fibre,OBJECT,283.092270341703,-31.2743888888889
2018.71015629,2018:09:17,09:13:48,ThXe Another Fibre,OBJECT,283.777474588959,-31.2743888888889
2018.71016186,2018:09:17,09:16:44,ThXe Another Fibre,OBJECT,284.512815730951,-31.2743888888889
2018.71016779,2018:09:17,09:19:51,ThXe Another Fibre,OBJECT,285.294115697276,-31.2743888888889
2018.71017368,2018:09:17,09:22:57,ThXe Another Fibre,OBJECT,286.071237587947,-31.2743888888889
2018.71017983,2018:09:17,09:26:11,ThXe Another Fibre,OBJECT,286.881784075987,-31.2743888888889
2018.710244,2018:09:17,09:59:56,ARC - ThAr,ARC,295.342385300618,-31.2743888888889
2018.71025297,2018:09:17,10:04:39,Flat Field - Quartz2,FFLAT,296.524780432742,-31.2743888888889
2018.71025588,2018:09:17,10:06:11,Flat Field - Quartz,FFLAT,296.909163303758,-31.2743888888889
2018.71028072,2018:09:17,10:19:15,Acquire,OBJECT,300.184773853476,-31.2743888888889
2018.71028782,2018:09:17,10:22:59,Flat Field - Quartz2,FFLAT,301.120662582351,-31.2743888888889
2018.71033203,2018:09:17,10:46:14,Acquire,OBJECT,306.949076758966,-31.2743888888889
2018.7103371,2018:09:17,10:48:54,Acquire,OBJECT,307.617568706306,-31.2743888888889
2018.71034068,2018:09:17,10:50:47,Acquire,OBJECT,308.089691147724,-31.2743888888889
2018.71034385,2018:09:17,10:52:27,Acquire,OBJECT,308.507498613499,-31.2743888888889
2018.71034496,2018:09:17,10:53:02,Acquire,OBJECT,308.653731227308,-31.2743888888889
2018.71034746,2018:09:17,10:54:21,Acquire,OBJECT,308.983799127952,-31.2743888888889
2018.71037113,2018:09:17,11:06:48,Acquire,OBJECT,312.104820912708,-31.2743888888889
2018.710375,2018:09:17,11:08:50,Acquire,OBJECT,312.614546024532,-31.2743888888889
2018.71037709,2018:09:17,11:09:56,Acquire,OBJECT,312.890298952159,-31.2743888888889
2018.71037956,2018:09:17,11:11:14,Acquire,OBJECT,313.216188777149,-31.2743888888889
2018.71038362,2018:09:17,11:13:22,Acquire,OBJECT,313.750982335033,-31.2743888888889
2018.71038545,2018:09:17,11:14:20,Acquire,OBJECT,313.993310667919,-31.2743888888889
2018.71038894,2018:09:17,11:16:10,Acquire,OBJECT,314.452898882381,-31.2743888888889
2018.71039049,2018:09:17,11:16:59,Acquire,OBJECT,314.657624539618,-31.2743888888889
2018.71039246,2018:09:17,11:18:01,Acquire,OBJECT,314.916665172502,-31.2743888888889
2018.71039664,2018:09:17,11:20:13,Acquire,OBJECT,315.468171027759,-31.2743888888889
2018.71039864,2018:09:17,11:21:16,Acquire,OBJECT,315.731389733673,-31.2743888888889
2018.71041328,2018:09:17,11:28:58,Acquire,OBJECT,317.661660234961,-31.2743888888889
2018.71042931,2018:09:17,11:37:24,Acquire,OBJECT,319.775766023099,-31.2743888888889
2018.71043219,2018:09:17,11:38:55,Acquire,OBJECT,320.155970821118,-31.2743888888889
2018.7104347,2018:09:17,11:40:14,Acquire,OBJECT,320.486038719147,-31.2743888888889
2018.71043878,2018:09:17,11:42:23,Acquire,OBJECT,321.025010352698,-31.2743888888889
2018.71044154,2018:09:17,11:43:50,Acquire,OBJECT,321.388502848096,-31.2743888888889
2018.71044433,2018:09:17,11:45:18,Acquire,OBJECT,321.756173421776,-31.2743888888889
2018.71045026,2018:09:17,11:48:25,Acquire,OBJECT,322.537473388222,-31.2743888888889
2018.71045612,2018:09:17,11:51:30,Dark Frame,DARK,323.310417203357,-31.2743888888889
2018.7106227,2018:09:17,13:19:07,Acquire,OBJECT,345.2745557928,-31.2743888888889
2018.7106259,2018:09:17,13:20:48,Acquire,OBJECT,345.696541336895,-31.2743888888889
2018.71062872,2018:09:17,13:22:17,Acquire,OBJECT,346.068389980996,-31.2743888888889
2018.7106317,2018:09:17,13:23:51,HD10700+ThXe,OBJECT,346.461129000753,-31.2743888888889
